Model,Hours,Events,CPU Times (s),Rank 1/5/10
S\&M,12,5,0.209,71.4733
GA1,12,4,0.1784221,96.67/96.67/100.0
GA2,12,4,0.17122173333333332,100.0/100.0/100.0
GA3,12,4,0.16958813333333334,86.67/90.0/93.33
S\&M,24,9,0.45,249.949
GA1,24,10,0.3926733333333334,0.0/83.33/100.0
GA2,24,10,0.37597356666666665,3.33/80.0/100.0
GA3,24,10,0.3770112666666667,0.0/90.0/100.0
S\&M,36,15,15.074,446.9473
GA1,36,14,0.5437104,0.0/26.67/83.33
GA2,36,14,0.5186682333333333,0.0/20.0/90.0
GA3,36,14,0.5076194333333334,0.0/0.0/56.67
S\&M,48,19,241.672,646.9474
GA1,48,23,3.4454382,0.0/36.67/96.67
GA2,48,23,3.263517766666667,0.0/16.67/100.0
GA3,48,23,3.294743366666667,3.33/43.33/96.67
S\&M,60,25,12724.861,846.9473
GA1,60,27,4.0874752999999995,0.0/6.67/80.0
GA2,60,27,3.927144466666667,0.0/13.33/86.67
GA3,60,27,3.7545646,0.0/3.33/73.33
S\&M,72,30,40003.179,1046.1549
GA1,72,33,4.8781736,0.0/0.0/83.33
GA2,72,33,4.714728633333333,0.0/10.0/83.33
GA3,72,33,4.429680833333333,0.0/0.0/66.67
